set_id,set_name,release_year,theme_id,num_parts,num_figs,retail_price,num_unique_figs,set_rating,retire_month,retire_price,pop_price,
75250-1,Pasaana Speeder Chase,2019,158,373,4,44.99,2,4.6,Jul-21,32.91,35.16,
75253-1,Droid Commander,2019,158,1177,0,179.99,0,4.7,Feb-21,177.15,204.59,
75254-1,AT-ST Raider,2019,158,540,4,49.99,2,4.8,Mar-22,40.95,38.26,
75256-1,Kylo Ren's Shuttle,2019,158,1005,6,99.99,4,4.6,Nov-21,124.38,147.19,
75258-1,Anakin's Podracer - 20th Anniversary Edition,2019,158,279,3,24.99,2,4.8,Jan-21,32.48,32.67,
75261-1,Clone Scout Walker - 20th Anniversary Edition,2019,158,250,5,24.99,3,4.9,Apr-20,47.95,59.55,
75810-1,The Upside Down,2019,680,2287,8,179.99,0,4.9,Jan-22,235.76,335.28,
75890-1,Ferrari F40 Competizione,2019,601,212,1,12.99,1,4.6,Sep-21,17.23,18.14,
75892-1,McLaren Senna,2019,601,222,1,12.99,1,4.8,Aug-21,17.57,17.06,
75893-1,2018 Dodge Challenger SRT Demon and 1970 Dodge Charger R/T,2019,601,485,3,34.99,0,4.8,Jul-21,29.88,32.83,
75894-1,1967 Mini Cooper S Rally and 2018 MINI John Cooper Works Buggy,2019,601,496,4,44.99,0,4.8,Nov-20,40.28,50.55,
75895-1,1974 Porsche 911 Turbo 3.0,2019,601,180,1,12.99,1,4.8,Jul-21,20.8,21.5,
75934-1,Dilophosaurus on the Loose,2019,602,168,3,19.99,2,4.7,Nov-20,20.84,26.26,
75936-1,Jurassic Park: T. rex Rampage,2019,602,3120,6,219.99,5,4.8,Oct-21,284.42,278.36,
75937-1,Triceratops Rampage,2019,602,447,4,54.99,3,4.8,Nov-20,51.7,73.51,
75938-1,T. rex vs Dino-Mech Battle,2019,602,716,4,79.99,2,4.8,Jan-21,93.19,146.96,
75945-1,Expecto Patronum,2019,246,121,4,19.99,1,4.8,Jan-21,21.43,23.73,
75946-1,Hungarian Horntail Triwizard Challenge,2019,246,265,4,29.99,0,4.8,Nov-20,28.53,35.35,
75947-1,Hagrid's Hut: Buckbeak's Rescue,2019,246,496,6,49.99,3,4.8,Nov-21,50.56,59.97,
75957-1,The Knight Bus,2019,246,403,3,34.99,2,4.8,Jan-22,46.23,45.55,
75958-1,Beauxbatons' Carriage: Arrival at Hogwarts,2019,246,431,4,44.99,0,4.8,Jan-21,43.6,54.04,
75965-1,The Rise of Voldemort,2019,246,186,6,19.99,0,4.9,Jan-21,24.05,29.16,
75970-1,Tracer vs. Widowmaker,2019,669,129,2,12.99,0,4.5,Jan-20,11.83,15.45,
75971-1,Hanzo vs. Genji,2019,669,198,3,24.99,0,4.6,Jan-20,16.62,20.58,
75972-1,Dorado Showdown,2019,669,419,3,29.99,2,4.5,Jan-20,22.36,31.05,
75973-1,D.Va & Reinhardt,2019,669,455,2,34.99,0,4.8,Aug-20,29.77,47.45,
75974-1,Bastion,2019,669,602,0,54.99,0,4.9,Sep-20,46.24,73.16,
75977-1,Junkrat & Roadhog,2019,669,380,2,44.99,0,4.7,Feb-22,52.25,63.74,
76114-1,Spider-Man's Spider Crawler,2019,706,426,4,34.99,3,4.8,Nov-20,35.71,48.27,
76117-1,Batman Mech vs. Poison Ivy Mech,2019,697,394,4,34.99,0,4.8,Jan-20,36.11,44.42,
76118-1,Mr. Freeze Batcycle Battle,2019,697,212,3,19.99,1,4.8,Jul-20,21.93,30.41,
76119-1,Batmobile: Pursuit of The Joker,2019,697,352,2,24.99,0,4.9,Jan-21,28.88,42.64,
76120-1,Batman Batwing and The Riddler Heist,2019,697,501,4,49.99,2,4.7,Jan-21,54.73,58.98,
76122-1,Batcave Clayface Invasion,2019,697,1073,6,94.99,3,4.8,Dec-20,81.88,108.47,
76124-1,War Machine Buster,2019,702,362,4,29.99,2,4.7,Jan-21,27.89,34.1,
76126-1,Avengers Ultimate Quinjet,2019,702,838,6,74.99,3,4.3,Jan-21,74.99,78.48,
76127-1,Captain Marvel and The Skrull Attack,2019,696,307,3,24.99,1,4.7,Oct-20,32.17,32.98,
76128-1,Molten Man Battle,2019,706,302,3,24.99,2,4.8,Nov-20,26.28,31.88,
76129-1,Hydro-Man Attack,2019,706,479,4,34.99,3,4.6,Feb-20,30.31,35.47,
76130-1,Stark Jet and the Drone Attack,2019,706,504,4,54.99,1,4.7,Nov-20,60.32,68.97,
76134-1,Spider-Man: Doc Ock Diamond Heist,2019,706,151,3,24.99,2,4.6,Jan-20,23.17,27.66,
